,cell_growth
0,-0.9086154911699554
1,1.3732194555383233
2,-0.6964016431338597
3,-0.7194519237725863
4,-0.61116529972826
5,1.4653590951726427
6,-1.7385744169874997
7,-0.5194439570198943
8,0.40660208316450014
9,0.8564114453924238
10,1.545956600296043
11,-0.6072167608586485
12,1.0368438103969593
13,1.4668996343824385
14,-1.5020256814303836
15,1.3647704294255598
16,0.6835272894113918
17,-0.7558062544358034
18,-0.8621137631266247
19,-1.083825711605229
20,-0.16609574969459043
21,1.1925561181451716
22,-0.26146166274849686
23,-0.12968454311098065
24,-0.5662703615865349
25,0.18460865586223107
26,0.5798971323972683
27,-0.40510172523321003
28,-1.0265346150589971
29,-1.5593116156138687
30,-0.9179467033890049
31,-1.5648642013579948
32,0.6132192448019368
33,-0.773103006210009
34,-1.0083498904718726
35,-0.9616270033950777
36,1.6585844225709185
37,-0.5955412606433199
38,-1.2489417384771255
39,-0.6256532267778879
40,1.1388626511841697
41,0.992284463787009
42,-0.39677419208608944
43,1.0959148543938577
44,-0.6574690944180286
45,0.6332734804624256
46,-1.267584988352618
47,0.43327275760883505
48,0.23326294193508626
49,0.5789646565145998
50,-0.7763499083908684
51,-0.8632967570190656
52,0.5202543421315003
53,0.48191232362810105
54,-0.8986875025173663
55,-0.6476838043926125
56,-0.693910981244251
57,-0.2715875809045785
58,-0.5215340185400168
59,0.695820522072331
60,-0.7489153328779192
61,0.2610443816855445
62,1.8668874000067528
63,1.2897103017427918
64,3.1252595243244947
65,-1.1839413184785383
66,1.2434690450383103
67,1.7994203206288235
68,-0.6257441816877108
69,-0.539905839018584
70,0.09729562120000171
71,1.5627311337441745
72,2.047374325130821
73,1.4300174352394504
74,-0.5765839510236023
75,-1.962211568769934
76,-1.5094161142041045
77,-1.0332790866682007
78,0.4744093152455175
79,-1.0742859716098003
80,-0.6770233995406694
81,-0.6219506740088474
82,1.3295885227471453
83,1.1637161794682358
84,-1.0288680329016882
85,1.3456145720040076
86,1.0272430166451294
87,-0.736169648794638
88,-1.1279012094567318
89,-0.24257323522414975
90,-0.6915593900181933
91,0.9015486771998682
92,0.2634283930978681
93,-1.1272807634401503
94,1.3269537163709944
95,2.4481124738629143
96,-0.40066745711756646
97,-0.9228259721685544
98,-0.10686322730989886
99,2.4632025591562443
100,2.7749037230729963
101,0.8392405324322162
102,0.37072758310704024
103,0.5445543535879782
104,-0.5943586298147656
105,0.8828630648267034
106,0.869494796976
107,-0.7708800654631217
108,-0.7494929055261189
109,-0.10744888880800524
110,1.2489222763166747
111,0.9566795109779096
112,2.134707721127934
113,-0.979655935146595
114,0.5919799686951159
115,-1.0639948349065436
116,2.332986599748344
117,-0.4000218764439609
118,1.2776427067340645
119,-0.03717626198471429
120,-0.7907286255034478
121,0.4982825560446447
122,0.8390801302121242
123,-0.8911005654110626
124,-1.2834299611271511
125,-0.9114873888447873
126,-1.020416034494853
127,-0.6223666780801729
128,0.8683685084093115
129,-0.8831431012574239
130,-0.6677328665179345
131,-0.8679354204698851
132,-1.0524197424560824
133,1.0933345936497318
134,-0.8825414770764246
135,0.8096794292345888
136,-0.766671720077024
137,-0.7790256397490838
138,-0.9851379603045942
139,-1.218121865212952
140,-0.08631007077988859
141,1.380493847061119
142,-1.0334305934449073
143,-0.8937973548159789
144,1.1921060342594936
145,-0.6263725050630393
146,1.8482508257725838
147,2.132722412699694
148,-0.727277090865371
149,2.3396177724555396
150,-0.39973490614581597
151,0.4918339027913863
152,-1.306504559998005
153,-1.701643121354162
154,1.313645735733948
155,-0.8414365477898873
156,-0.7097165598963968
157,-0.12156607346767956
158,-0.19004213348098045
159,2.378793251671769
160,0.4592902866887663
