,cell_growth
0,-0.005268977068260701
1,-0.01797706465166643
2,-0.006969893501486107
3,0.024919448497563345
4,0.009298054089696473
5,-0.004846240143029461
6,-0.004407249409616852
7,0.014017681727350406
8,-0.005499941060336633
9,-0.008934891772774059
10,-0.0070046774729215595
11,-0.007814065757480143
12,-0.0043867216070400394
13,-0.009370452866087809
14,-0.007545254357176484
15,-0.0076005717963561524
16,-0.005608838666723288
17,-0.00746112871912825
18,-0.008047793168507641
19,0.007845089801642469
20,-0.006889531047252466
21,0.005164294895048595
22,-0.007829901477996911
23,0.005418406281593587
24,0.0010748317293259684
25,-0.0008878434589833136
26,-0.017461081213184033
27,-0.017008155216755156
28,-0.001001922062388948
29,0.014976356669540754
30,-0.007038520599120052
31,-0.003165980265039068
32,0.01332226426246369
33,0.007010700210539705
34,-0.0035623985161513105
35,-0.004302755787664869
36,0.011465533971434747
37,0.025624474409588427
38,0.007007277257653544
39,-0.005231040198677779
40,-0.008127827092395243
41,-0.004386702785154036
42,0.0035480572665166007
43,0.02808705745193508
44,-0.001726631535866249
45,0.03399655599078464
46,-0.00999424565774835
47,0.0026110065541684047
48,0.047833742380777124
49,-0.0019523185315253229
50,0.030979127036837983
51,0.01594816874926686
52,-0.003913764111383051
53,0.007255010345401237
54,-0.00965644714316978
55,0.017271150562153535
56,0.011835800039012143
57,0.021244670570475816
58,-0.0028811570747440535
59,-0.005631741689246646
60,-0.02049562742492476
61,-0.005360943717849971
62,-0.007984600553400825
63,0.007892514723798002
64,-0.0009827705387043621
65,0.00488338353653046
66,0.021203206295628312
67,0.05230129137608875
68,-0.007467353959652617
69,0.007169610954749772
70,-0.007354569441638721
71,-0.012251999767216979
72,0.014162620691915706
73,-0.006947988773645737
74,-0.0037188911294595375
75,-0.01830157088450407
76,-0.006859568863872049
77,-0.005472951584687261
78,0.011603454575058339
79,0.0037752345683863173
80,0.011218039523391404
81,0.005303250307244369
82,-0.002973811535117508
83,0.02772670269443678
84,-0.00887445233291743
85,-0.009137230867843404
86,-0.00352808542801529
87,-0.013162283350595669
88,0.003811470332699148
89,-0.004054187355184563
90,0.012547526674235088
91,-0.015877171936648532
92,-0.00032817623441836846
93,0.024962486828858793
94,0.0074564876993246
95,-0.011639642384625176
96,0.02609756759813922
97,-0.009487549694124908
98,-0.011177374481278072
99,-0.002885609824402414
100,-0.006361854020070408
101,-0.004377882389261424
102,-0.009026849985499769
103,-0.008697900229028563
104,0.03775309918338413
105,-0.006423671908670149
106,-0.008038086886529757
107,0.01132878720786984
108,-0.0045285981194282164
109,-0.009409508861368062
110,0.02003033439309529
111,0.03267411046776116
112,-0.0017450620245088404
113,0.0004678762330470321
114,-0.002760021335652202
115,-0.010187468648963027
116,0.010706920528921832
